id,current_price,market_cap,price_change_percentage_24h,ath,atl,Time_stamp
grass,2.43,592840799,-10.21769,3.89,0.654959,18-11-2024
act-i-the-ai-prophecy,0.614335,582522034,-3.22602,0.919768,0.01259861,18-11-2024
moo-deng,0.580712,573956020,-1.71696,0.680378,0.01544782,18-11-2024
oasis-network,0.084871,571127629,2.05084,0.597347,0.03200566,18-11-2024
bitcoin-gold,32.5,568824081,-0.99687,456.25,4.25,18-11-2024
coinbase-wrapped-staked-eth,3378.44,563110419,-0.88106,4335.7,1036.96,18-11-2024
pancakeswap-token,1.93,560553590,-0.81276,43.96,0.194441,18-11-2024
corgiai,0.0016453,558552102,11.67385,0.0042301,4.414e-05,18-11-2024
zksync,0.149435,548888948,0.23404,0.320983,0.08305,18-11-2024
safe,1.082,542455479,0.2532,3.56,0.619886,18-11-2024
beldex,0.08113,542240034,-0.3855,0.450785,0.00027519,18-11-2024
sats-ordinals,2.53854e-07,533309910,3.06804,9.22983e-07,3.189e-09,18-11-2024
paypal-usd,1.0,529269627,0.02342,1.021,0.972731,18-11-2024
dexe,9.22,525645937,-0.85367,32.38,0.671563,18-11-2024
ronin,1.45,523684314,-3.0975,4.45,0.196601,18-11-2024
bitcoin-avalanche-bridged-btc-b,91730.0,519821460,1.12897,93003.0,7806.11,18-11-2024
spx6900,0.557601,514342983,-16.80155,0.985483,0.00131808,18-11-2024
super-oeth,3115.89,513106723,-0.85163,3402.49,2170.26,18-11-2024
pax-gold,2596.27,511997382,1.45407,2855.83,1399.64,18-11-2024
astar,0.068677,508536046,-0.29217,0.421574,0.03269521,18-11-2024
blur,0.252541,508339489,-1.30014,5.02,0.109611,18-11-2024
kava,0.467478,506174845,5.41754,9.12,0.247359,18-11-2024
apenft,5.00061e-07,495047725,2.33344,7.53e-06,2.98737e-07,18-11-2024
true-usd,0.998926,494889497,0.05797,1.62,0.88355,18-11-2024
frax-ether,3110.01,480661685,-0.85604,4062.68,1137.25,18-11-2024
theta-fuel,0.071265,480301282,0.76531,0.68159,0.00090804,18-11-2024
stepn,0.1615,480187166,-0.10237,4.11,0.085266,18-11-2024
virtual-protocol,0.480125,479416185,-8.25824,0.603703,0.00748604,18-11-2024
ether-fi-staked-btc,91505.0,477368564,0.31414,93130.0,58795.0,18-11-2024
compound-governance-token,53.64,473874912,1.17919,910.54,25.74,18-11-2024
pepecoin-2,3.9,469749651,-10.1891,7.51,0.01088097,18-11-2024
apu-s-club,0.00141939,462090321,7.02697,0.00146564,1.88e-06,18-11-2024
non-playable-coin,0.057457,460957269,13.39785,0.066169,4.561e-05,18-11-2024
tbtc,91182.0,460186406,0.45392,92395.0,10104.3,18-11-2024
polygon-pos-bridged-weth-polygon-pos,3119.29,453733981,-0.91133,3421.39,2162.83,18-11-2024
curve-dao-token,0.366818,452856625,10.78369,15.37,0.180354,18-11-2024
gigachad-2,0.04669118,449437129,-4.55008,0.07644,1.244e-05,18-11-2024
ai16z,0.407248,448591196,6.7316,0.449778,0.010189,18-11-2024
eigenlayer,2.39,446021380,-3.0844,4.47,2.26,18-11-2024
ondo-us-dollar-yield,1.077,445685588,1.31072,1.26,0.934184,18-11-2024
memecoin-2,0.0143246,439774598,-1.3246,0.056324,0.00808778,18-11-2024
woo-network,0.237853,437897857,-5.4644,1.78,0.02211546,18-11-2024
echelon-prime,8.64,428173815,-4.13747,28.0,1.19,18-11-2024
bridged-usdc-polygon-pos-bridge,1.0,426306848,0.03168,1.028,0.975633,18-11-2024
quantixai,100.46,416890591,1.27573,105.74,0.228366,18-11-2024
drift-protocol,1.62,416754871,19.32166,2.6,0.100002,18-11-2024
layerzero,3.73,414459291,0.20712,5.53,2.48,18-11-2024
iotex,0.04383772,412914436,3.99365,0.255593,0.00121576,18-11-2024
reserve-rights-token,0.00779774,411158215,3.87662,0.117424,0.00121354,18-11-2024
degen-base,0.02394188,410214811,-0.81606,0.064543,2.255e-05,18-11-2024
l2-standard-bridged-weth-blast,3116.96,407301529,-0.8606,3410.45,2167.33,18-11-2024
wemix-token,0.979364,405287702,1.7567,24.71,0.128398,18-11-2024
sweth,3341.0,404700325,-0.97296,4273.24,1535.26,18-11-2024
1inch,0.316575,404525302,1.65561,8.65,0.214183,18-11-2024
bazaars,6.58,401906600,-0.81129,10.15,0.599169,18-11-2024
usdb,0.988889,401400804,-0.43054,1.07,0.889651,18-11-2024
hashnote-usyc,1.068,400684201,0.11271,1.089,1.04,18-11-2024
trust-wallet-token,0.959635,399431614,-2.32301,2.72,0.00277641,18-11-2024
livepeer,10.98,394049237,-1.63716,99.03,0.354051,18-11-2024
ponke,0.711405,390570222,21.96271,0.745307,0.00927982,18-11-2024
rune-pups,0.391034,389894901,34.17093,3.87,0.02136184,18-11-2024
amp-token,0.00482049,389105472,-5.76286,0.120813,0.00140933,18-11-2024
stader-ethx,3241.82,388329951,-1.09871,4143.4,1537.24,18-11-2024
jito-governance-token,2.96,387108555,-0.21034,6.01,1.45,18-11-2024
baby-doge-coin,2.391e-09,385379608,-1.35654,6.345e-09,9.4771e-11,18-11-2024
zilliqa,0.02001893,383621191,0.16286,0.255376,0.00239616,18-11-2024
osmosis,0.551766,383215406,7.24202,11.25,0.224523,18-11-2024
zetachain,0.729483,377524647,-0.1094,2.85,0.344857,18-11-2024
holotoken,0.00212321,376270068,-0.75496,0.03126682,0.0002202,18-11-2024
enjincoin,0.212772,375012011,18.24559,4.82,0.01865964,18-11-2024
simon-s-cat,5.484e-05,371341767,6.2343,6.156e-05,1.099e-05,18-11-2024
celo,0.6695,370502925,0.83134,9.82,0.362124,18-11-2024
compound-wrapped-btc,1845.83,368714588,0.90718,1874.9,91.15,18-11-2024
binance-peg-busd,1.001,368086054,-0.05175,1.064,0.954278,18-11-2024
ethereum-pow-iou,3.41,367507008,-2.02267,58.54,1.17,18-11-2024
usual-usd,1.001,366769485,-0.05313,1.33,0.976542,18-11-2024
staked-frax-ether,3435.85,364601454,-0.74628,7545.09,1147.58,18-11-2024
fartcoin,0.361618,358569291,-4.73259,0.394513,0.02002855,18-11-2024
golem,0.357435,357322358,0.07377,1.32,0.00913753,18-11-2024
0x,0.418096,354048367,7.63356,2.5,0.120667,18-11-2024
polygon-bridged-wbtc-polygon-pos,91785.0,352134090,0.91888,92855.0,49937.0,18-11-2024
benqi-liquid-staked-avax,41.42,350855234,-3.09794,103.55,9.25,18-11-2024
kusama,22.01,345896849,-1.7579,621.71,0.876572,18-11-2024
origintrail,0.852181,345585363,9.40046,3.5,0.00385262,18-11-2024
dash,28.74,345194868,-0.87889,1493.59,0.213899,18-11-2024
polymesh,0.308063,341187607,5.47813,0.748771,0.099854,18-11-2024
liquid-staked-ethereum,3303.47,340416406,-0.51801,4264.83,1384.61,18-11-2024
dymension,1.58,339316671,-4.19981,8.5,0.972884,18-11-2024
just,0.03426469,339185096,0.2845,0.193254,0.00476275,18-11-2024
pumpbtc,91208.0,334040803,1.1955,92770.0,48890.0,18-11-2024
aevo-exchange,0.377022,332391525,2.14169,3.76,0.270959,18-11-2024
safepal,0.68115,332027872,1.46833,4.19,0.269235,18-11-2024
